from.x,from.y,to.x,to.y
-79.8785323812388,40.4541264091661,-79.8792391189986,40.454680741241496
-79.8800089223062,40.4541443428617,-79.8792391189986,40.454680741241496
-79.87876988452041,40.4583032898532,-79.8792442969166,40.4591422792235
-79.87973471086741,40.456658703048,-79.8792675578927,40.45709024626311
-79.8792675578927,40.45709024626311,-79.87927638123341,40.4586506340479
-79.8790122961152,40.449800932920006,-79.8793052677681,40.4507131449062
-79.8804771103905,40.4495075129266,-79.87949338837609,40.44971117096871
-79.8792391189986,40.454680741241496,-79.8795324527929,40.454934813703105
-79.87949338837609,40.44971117096871,-79.8796056804421,40.45004533537461
-79.8796056804421,40.45004533537461,-79.8796571670862,40.450210900333
-79.8798475399513,40.4552089068216,-79.8797075491062,40.4553289549593
-79.8808659790329,40.45504752648289,-79.8797075491062,40.4553289549593
-79.8807766639551,40.4559039718703,-79.87973471086741,40.456658703048
-79.87973471086741,40.456658703048,-79.8797885341172,40.459145736857295
-79.880702562074,40.4546961609012,-79.8798475399513,40.4552089068216
-79.8795324527929,40.454934813703105,-79.8798475399513,40.4552089068216
-79.8788985322303,40.450936696826,-79.8800089223062,40.4541443428617
-79.8788978667231,40.4532643658417,-79.8800089223062,40.4541443428617
